Degree Program,Stream,District,Min Z-score
BSc Engineering (Civil),Physical Science,Colombo,1.85
BSc Engineering (Electrical),Physical Science,Gampaha,1.78
BSc Engineering (Computer),Physical Science,Kandy,1.92
MBBS,Bioscience,Colombo,2.10
MBBS,Bioscience,Galle,2.05
BSc in Biotechnology,Bioscience,Matara,1.65
BSc in Environmental Science,Bioscience,Kurunegala,1.58
BCom (Special),Commerce,Colombo,1.45
BCom (General),Commerce,Kalutara,1.38
BBM in Marketing,Commerce,Jaffna,1.25
BA in Economics,Arts,Colombo,1.10
BA in Sociology,Arts,Badulla,0.95
BA in Political Science,Arts,Anuradhapura,0.88
BSc in Quantity Surveying,Physical Science,Colombo,1.70
BSc in Applied Science,Physical Science,Ratnapura,1.55
BDS (Dental Surgery),Bioscience,Kandy,2.00
BPharm (Pharmacy),Bioscience,Colombo,1.90
BBA in Human Resources,Commerce,Gampaha,1.30
BBA in Finance,Commerce,Colombo,1.40
BA in English Literature,Arts,Galle,1.00
BA in Archaeology,Arts,Polonnaruwa,0.85
BSc Engineering (Chemical),Physical Science,Puttalam,1.75
BSc Engineering (Materials),Physical Science,Nuwara Eliya,1.68
BSc in Architecture,Physical Science,Trincomalee,1.80
BSc in Town & Country Planning,Physical Science,Batticaloa,1.60
BSc in Food Science & Tech,Bioscience,Monaragala,1.50
BSc in Agriculture,Bioscience,Anuradhapura,1.45
BSc in Fisheries & Marine Sci,Bioscience,Hambantota,1.40
BSc in Nursing,Bioscience,Jaffna,1.70
BSc in Radiography,Bioscience,Kegalle,1.68
BSc in Medical Laboratory Sci,Bioscience,Badulla,1.62
BSc in Physiotherapy,Bioscience,Polonnaruwa,1.60
BSc in Speech & Hearing Sci,Bioscience,Ratnapura,1.55
BSc in Management,Commerce,Kandy,1.35
BSc in Accountancy,Commerce,Galle,1.42
BSc in Estate Management,Commerce,Matara,1.20
BSc in Public Administration,Commerce,Kurunegala,1.28
BSc in Marketing Management,Commerce,Puttalam,1.22
BSc in Human Resource Mgt,Commerce,Nuwara Eliya,1.18
BA in Sinhala,Arts,Ampara,0.80
BA in Tamil,Arts,Vavuniya,0.82
BA in History,Arts,Mannar,0.78
BA in Geography,Arts,Kilinochchi,0.75
BA in Mass Communication,Arts,Mullaitivu,0.90
BA in International Relations,Arts,Gampaha,1.05
BSc Engineering (Civil),Physical Science,Gampaha,1.80
BSc Engineering (Electrical),Physical Science,Kandy,1.75
BSc Engineering (Computer),Physical Science,Colombo,1.90
MBBS,Bioscience,Galle,2.08
MBBS,Bioscience,Kandy,2.03
BSc in Biotechnology,Bioscience,Colombo,1.68
BSc in Environmental Science,Bioscience,Matara,1.55
BCom (Special),Commerce,Kandy,1.40
BCom (General),Commerce,Colombo,1.35
BBM in Marketing,Commerce,Galle,1.20
BA in Economics,Arts,Kandy,1.08
BA in Sociology,Arts,Colombo,0.92
BA in Political Science,Arts,Galle,0.85
BSc in Quantity Surveying,Physical Science,Gampaha,1.65
BSc in Applied Science,Physical Science,Colombo,1.50
BDS (Dental Surgery),Bioscience,Colombo,1.98
BPharm (Pharmacy),Bioscience,Kandy,1.88
BBA in Human Resources,Commerce,Colombo,1.28
BBA in Finance,Commerce,Galle,1.38
BA in English Literature,Arts,Kandy,0.98
BA in Archaeology,Arts,Colombo,0.82
BSc Engineering (Chemical),Physical Science,Colombo,1.72
BSc Engineering (Materials),Physical Science,Gampaha,1.65
BSc in Architecture,Physical Science,Kandy,1.78
BSc in Town & Country Planning,Physical Science,Colombo,1.58
BSc in Food Science & Tech,Bioscience,Galle,1.48
BSc in Agriculture,Bioscience,Kandy,1.42
BSc in Fisheries & Marine Sci,Bioscience,Colombo,1.38
BSc in Nursing,Bioscience,Gampaha,1.68
